"spkid","name","pha","epoch","a","e","i","w","om","ma","H","G","GM"
3674174,,N,2460600.5,1.693,0.5898,27.36,133.01,281.59,207.10,18.38,,
3674177,,N,2456839.5,1.251,0.1737,26.69,130.71,102.44,29.80,22.80,,
3674178,,N,2456839.5,1.926,0.4706,3.39,342.97,275.66,7.04,26.50,,
3674179,,N,2456839.5,2.084,0.6025,7.33,231.52,119.26,341.65,24.10,,
3674216,,N,2456839.5,0.8584,0.2771,6.97,187.31,264.34,188.75,24.50,,
3674249,,N,2460600.5,2.672,0.6106,0.97,193.94,57.11,140.35,24.70,,
3674330,,N,2460600.5,1.84,0.4330,46.94,124.55,253.82,341.00,18.56,,
3674331,,N,2460600.5,2.437,0.5228,8.37,15.66,181.61,293.44,18.55,,
3674332,,N,2460600.5,1.993,0.4623,9.78,201.00,114.48,224.18,24.10,,
3674333,,N,2456840.5,1.897,0.5382,7.43,261.91,98.00,335.58,23.60,,
3674335,,Y,2460600.5,1.37,0.3700,2.93,207.87,162.83,91.98,21.71,,
3674337,,N,2460600.5,2.215,0.4642,6.84,175.71,122.29,40.28,23.30,,
3674426,,N,2460600.5,2.37,0.4841,10.88,210.63,136.30,264.93,19.40,,
3674499,,N,2460600.5,2.161,0.4298,8.17,28.29,298.28,73.48,21.50,,
3674500,,N,2460600.5,2.469,0.4915,6.57,322.73,39.15,209.50,19.41,,
3674501,,N,2460600.5,2.262,0.4626,6.71,341.84,293.58,12.14,22.40,,
3674503,,N,2460600.5,2.103,0.5637,10.98,132.01,93.14,151.50,24.05,,
3674749,,N,2456838.5,2.304,0.7185,1.84,59.04,303.34,345.64,24.10,,
3674825,,N,2460600.5,1.207,0.2094,26.12,275.07,88.67,205.81,22.80,,
3674830,,N,2460600.5,1.021,0.4962,18.80,217.36,253.71,124.98,21.20,,
3675170,,N,2456833.5,1.721,0.3518,7.39,209.74,95.93,343.05,24.06,,
3675179,,N,2456833.5,1.691,0.3470,6.58,192.04,85.43,359.14,24.57,,
3675191,,N,2460600.5,1.594,0.4505,7.43,267.56,297.32,75.27,23.87,,
3675093,,N,2460600.5,1.536,0.3536,1.47,179.22,58.88,166.65,25.93,,
3675110,,N,2456837.5,2.091,0.4647,6.09,203.66,100.30,352.42,23.61,,
3675116,,N,2456837.5,2.268,0.5830,1.83,59.69,273.98,347.95,22.98,,
3675146,,N,2460600.5,2.4,0.5991,2.54,23.00,317.54,263.77,23.37,,
3674248,,N,2456840.5,2.424,0.6566,2.34,79.63,134.54,11.44,23.20,,
3674336,,N,2456841.5,2.149,0.4960,8.85,28.25,270.14,353.95,24.30,,
3674338,,N,2460600.5,1.216,0.3152,25.87,278.72,120.33,167.96,20.04,,
3674340,,N,2460600.5,1.299,0.4938,13.52,195.30,354.28,25.67,20.26,,
3674341,,N,2460600.5,1.623,0.3641,3.04,182.85,130.57,338.00,24.20,,
3674427,,N,2460600.5,1.357,0.2815,19.24,111.53,111.83,219.13,24.10,,
3674498,,N,2460600.5,2.243,0.4792,8.73,209.98,129.31,6.40,21.83,,
3674502,,N,2460600.5,1.758,0.2868,28.54,36.41,305.49,122.16,20.78,,
3674578,,Y,2460600.5,1.253,0.3737,24.41,115.36,279.38,58.06,21.96,,
3674617,,N,2460600.5,1.872,0.4208,2.85,154.24,146.22,0.74,23.70,,
3674619,,Y,2460600.5,2.21,0.8342,2.54,276.31,248.74,70.75,21.22,,
3674659,,N,2460600.5,1.224,0.1949,7.76,329.76,282.64,236.23,23.60,,
3674684,,N,2460600.5,2.277,0.5273,7.64,32.38,329.20,333.15,21.80,,
3674745,,N,2460600.5,1.212,0.4709,3.43,14.26,160.95,308.88,23.23,,
3674755,,N,2460600.5,2.141,0.4410,7.75,344.62,305.00,100.45,19.80,,
3674756,,N,2460600.5,2.182,0.6370,22.70,9.68,17.03,48.47,19.99,,
3674789,,N,2460600.5,2.107,0.4306,41.62,294.10,328.37,158.32,18.88,,
3674801,,N,2460600.5,2.862,0.7120,9.02,270.37,113.93,5.92,18.16,,
3674865,,N,2460600.5,2.846,0.6260,28.75,8.42,302.97,49.29,21.60,,
3675259,,N,2460600.5,2.8,0.5806,1.75,336.43,349.54,56.22,20.70,,
3675262,,N,2456840.5,0.8469,0.3861,4.49,328.64,98.78,235.85,24.12,,
3675275,,N,2456855.5,2.112,0.4545,6.10,151.63,135.46,1.84,24.20,,
3675285,,N,2460600.5,1.839,0.3804,6.13,359.87,5.48,7.30,21.61,,
3675297,,N,2460600.5,2.1,0.4479,7.32,315.77,252.61,177.03,20.31,,
3675298,,N,2456840.5,2.059,0.4964,7.98,317.95,281.47,15.18,23.56,,
3675307,,N,2460600.5,1.037,0.2734,4.50,273.66,162.42,140.36,22.90,,
3675229,,Y,2460600.5,1.363,0.3857,8.35,305.33,97.31,92.04,21.68,,
3674864,,N,2460600.5,1.342,0.6863,17.92,129.19,297.94,170.04,21.72,,
3674874,,N,2460600.5,2.574,0.6295,23.19,186.86,76.18,181.92,19.10,,
3674886,,N,2460600.5,2.852,0.6013,21.34,113.25,137.05,50.88,21.00,,
3674887,,N,2460600.5,2.45,0.6207,2.05,141.58,122.19,245.85,29.10,,
3674937,,N,2460600.5,1.134,0.1425,6.67,268.01,126.75,95.82,23.20,,
3674947,,N,2460600.5,1.756,0.7381,8.14,106.74,304.71,119.71,22.47,,
3674948,,N,2456867.5,2.006,0.5636,1.92,123.29,122.82,15.90,27.80,,
3674962,,N,2460600.5,1.098,0.1624,7.48,93.44,121.26,29.34,25.50,,
3674961,,N,2460600.5,1.28,0.1558,18.38,342.77,306.60,33.33,24.40,,
3674963,,N,2460600.5,2.176,0.4157,7.78,143.30,137.92,69.33,21.00,,
3674964,,N,2460600.5,2.201,0.6786,1.38,286.66,111.75,25.88,23.10,,
3675019,,Y,2460600.5,2.214,0.5534,8.35,320.37,307.21,47.17,21.74,,
3675020,,N,2456867.5,1.458,0.4047,3.15,205.58,161.69,328.15,22.88,,
3675021,,N,2456865.5,1.781,0.5149,8.21,248.64,124.18,331.81,22.50,,
3676114,,N,2460600.5,1.413,0.2713,6.48,331.75,304.84,47.53,26.50,,
3676117,,N,2456867.5,2.429,0.5838,2.25,168.63,122.78,3.25,29.10,,
3676115,,N,2460600.5,2.245,0.4637,6.45,176.92,113.06,19.10,23.20,,
3676118,,N,2456867.5,2.132,0.5084,8.80,167.73,130.05,3.20,24.50,,
3678015,,N,2456868.5,1.916,0.5505,7.35,243.31,128.32,341.63,26.20,,
3678016,,Y,2460600.5,2.206,0.8549,6.47,283.18,154.32,24.14,19.55,,
3678250,,N,2460600.5,2.32,0.4892,4.17,334.44,326.19,327.63,20.77,,
3678251,,N,2456868.5,2.036,0.6150,4.74,69.88,311.73,342.11,26.30,,
3678248,,N,2460600.5,1.278,0.4003,13.34,92.93,313.11,332.40,24.30,,
3678563,,N,2460600.5,1.389,0.1863,22.64,225.07,131.30,57.29,20.85,,
3678561,,N,2460600.5,2.218,0.5704,5.07,311.40,314.97,43.53,22.50,,
3678560,,N,2460600.5,2.106,0.4958,5.75,318.14,317.08,138.92,21.97,,
3678562,,N,2460600.5,1.034,0.2728,27.79,339.46,132.49,115.59,21.02,,
3678564,,N,2460600.5,2.311,0.4650,4.82,189.56,106.27,332.59,22.31,,
3678608,,N,2460600.5,2.126,0.4414,7.91,188.03,123.52,105.11,24.20,,
3678609,,N,2460600.5,1.159,0.1914,6.90,103.15,126.40,122.97,27.00,,
3678610,,N,2460600.5,1.774,0.3526,5.85,351.09,333.82,112.44,21.42,,
3678611,,N,2460600.5,1.306,0.3688,1.86,316.36,77.74,252.72,24.44,,
3678630,,N,2460600.5,0.9986,0.4608,10.18,289.74,252.06,169.01,22.78,,
3678629,,Y,2460600.5,2.579,0.6448,3.45,18.24,28.58,149.46,21.45,,
3678631,,N,2460600.5,2.376,0.4734,7.44,195.76,127.22,280.75,22.60,,
3679434,,N,2460600.5,1.63,0.7059,10.60,151.43,297.31,268.19,20.69,,
3679436,,N,2460600.5,1.904,0.6766,1.99,151.13,56.13,345.27,22.85,,
3680268,,N,2460600.5,1.565,0.1693,13.37,356.57,319.41,74.96,22.76,,
3680281,,N,2456865.5,2.19,0.6112,0.58,249.18,347.66,15.53,26.00,,
3680275,,N,2456866.5,1.781,0.3529,20.07,115.14,113.78,39.45,19.91,,
3680895,,N,2456867.5,1.516,0.5109,4.54,278.58,117.74,326.06,25.50,,
3680936,,Y,2460600.5,1.168,0.2922,35.36,242.18,316.91,119.12,21.74,,
3681005,,N,2456869.5,2.305,0.5271,7.93,219.61,127.41,349.28,24.66,,
3681036,,N,2456870.5,2.425,0.4696,6.56,246.88,81.86,354.97,22.67,,
3681053,,N,2456870.5,2.271,0.5496,6.13,194.47,128.62,356.78,25.80,,
3679871,,N,2460600.5,1.033,0.2765,34.62,26.01,134.39,37.58,22.30,,
3679870,,N,2460600.5,1.837,0.4406,4.96,280.18,356.04,48.37,24.03,,
3679873,,N,2460600.5,1.951,0.4434,10.55,356.87,344.59,257.58,20.38,,
3680249,,N,2460600.5,1.287,0.3278,46.42,333.13,130.52,225.65,20.80,,
3680251,,N,2460600.5,2.059,0.5214,14.58,258.39,136.10,138.91,21.62,,
3680250,,N,2460600.5,3.147,0.7755,49.15,145.86,279.29,278.87,17.76,,
3680252,,N,2460600.5,1.194,0.1032,13.21,172.39,139.00,297.96,24.03,,
3680266,,N,2460600.5,2.429,0.4963,19.05,333.07,333.63,253.98,22.10,,
3680269,,N,2460600.5,1.344,0.1794,6.83,42.43,322.75,162.81,23.49,,
3680284,,N,2460600.5,1.048,0.1417,28.00,204.17,319.45,328.80,20.80,,
3690060,,N,2460600.5,2.635,0.5110,13.16,299.70,354.58,146.95,20.60,,
3681964,,Y,2460600.5,1.964,0.5459,14.13,222.85,162.48,234.56,20.50,,
3681965,,N,2460600.5,2.337,0.4943,9.05,174.29,143.58,306.14,20.23,,
3681972,,Y,2460600.5,2.411,0.7002,2.38,296.33,294.60,266.06,20.90,,
3681973,,N,2460600.5,2.154,0.4682,8.33,358.20,321.11,79.53,20.60,,
3682228,,N,2460600.5,1.519,0.2847,40.68,152.88,161.60,169.88,20.21,,
3682429,,N,2460600.5,2.86,0.5857,22.56,14.24,342.00,14.11,18.13,,
3683246,,N,2460600.5,21.44,0.9407,93.59,311.77,338.66,37.23,20.00,,
3682420,,N,2460600.5,2.125,0.3881,9.03,191.95,171.38,84.58,19.90,,
3682230,,Y,2460600.5,1.261,0.3730,37.61,64.63,146.34,120.37,20.60,,
3682231,,N,2456889.5,1.549,0.4094,4.31,81.27,308.22,333.00,25.00,,
3682232,,N,2460600.5,2.028,0.4633,2.97,19.29,276.93,196.14,23.50,,
3682428,,N,2456890.5,1.493,0.2812,13.69,151.60,149.97,15.45,24.40,,
3682430,,N,2460600.5,2.569,0.5796,13.39,357.27,324.51,168.65,22.80,,
3682463,,N,2460600.5,2.714,0.7560,4.27,147.76,87.92,112.06,18.86,,
3682462,,N,2460600.5,2.128,0.4936,1.89,177.10,166.97,92.57,25.60,,
3682464,,N,2456892.5,1.479,0.4499,3.13,259.56,145.41,330.14,24.90,,
3682465,,N,2460600.5,1.167,0.7017,3.78,233.01,324.48,65.21,23.70,,
3682466,,N,2460600.5,1.084,0.1847,2.83,264.78,335.91,61.81,24.44,,
3682467,,N,2460600.5,1.131,0.3210,2.46,98.09,344.62,88.24,23.70,,
3682495,,N,2460600.5,2.181,0.4742,6.39,8.08,343.24,47.11,21.60,,
3682496,,N,2456892.5,1.476,0.3009,12.59,231.67,149.53,332.54,24.30,,
3682497,,N,2460600.5,2.381,0.5646,7.92,313.10,348.36,282.96,22.10,,
3682529,,N,2460600.5,2.619,0.5765,5.97,66.78,298.85,131.27,23.40,,
3682528,,N,2460600.5,1.7,0.3162,20.78,189.01,141.14,206.19,20.16,,
3682527,,N,2460600.5,1.939,0.5857,0.84,235.79,166.04,254.68,26.20,,
3682530,,N,2456898.5,1.791,0.4279,6.32,339.13,322.44,13.60,23.20,,
3682531,,N,2460600.5,1.935,0.3896,4.93,195.73,162.01,267.24,23.00,,
3682926,,N,2460600.5,2.129,0.4063,4.59,152.65,169.59,99.07,22.20,,
3682925,,N,2460600.5,2.742,0.5567,6.94,194.25,165.77,76.29,23.60,,
3682927,,N,2456893.5,0.9617,0.2529,26.27,122.07,332.71,263.83,25.30,,
3683390,,N,2460600.5,2.756,0.5816,12.58,41.32,338.84,56.64,19.45,,
3683391,,N,2460600.5,1.886,0.4316,9.55,133.37,144.18,355.30,21.90,,
3683392,,N,2456893.5,2.291,0.8134,10.34,112.35,334.19,344.91,24.54,,
3683393,,N,2460600.5,1.053,0.0924,0.49,61.66,171.12,231.35,26.30,,
3683394,,N,2460600.5,2.539,0.4888,8.43,340.12,337.52,184.73,22.30,,
3683395,,N,2460600.5,1.658,0.3423,31.82,39.91,155.06,15.17,19.59,,
3683396,,N,2460600.5,1.41,0.5975,45.34,116.60,352.39,331.22,20.70,,
3683467,,N,2460600.5,1.492,0.4168,3.87,247.94,148.85,176.08,26.80,,
3683468,,N,2460600.5,2.502,0.7196,8.77,10.09,64.62,166.64,18.39,,
3683469,,N,2460600.5,1.128,0.5243,6.05,354.10,110.13,81.58,22.05,,
3683470,,N,2456893.5,1.793,0.5273,0.83,180.00,221.45,337.54,25.90,,
3683471,,N,2460600.5,2.259,0.5242,1.87,342.90,5.39,350.05,24.90,,
3683472,,N,2460600.5,0.9538,0.3363,1.34,325.45,144.28,219.07,24.80,,
3683804,,N,2460600.5,1.837,0.3446,17.48,228.76,351.86,109.91,18.61,,
3683805,,N,2456893.5,2.231,0.5336,0.74,163.85,146.18,5.86,26.00,,
3683808,,N,2460600.5,1.656,0.2643,31.97,43.75,331.55,248.61,22.40,,
3683807,,N,2460600.5,2.364,0.5101,5.16,82.63,321.41,262.89,21.40,,
3683809,,N,2460600.5,1.26,0.2117,10.03,137.79,155.10,89.27,25.20,,
3684009,,N,2460600.5,1.351,0.4429,7.71,222.15,16.68,220.09,20.95,,
3684008,,N,2460600.5,1.442,0.4376,24.57,97.16,151.67,356.73,21.20,,
3684007,,N,2456896.5,2.723,0.5658,7.62,336.40,335.72,4.73,24.40,,
3684006,,N,2460600.5,1.179,0.3412,5.86,255.13,341.83,31.11,23.77,,
3684343,,N,2456892.5,1.1,0.1943,13.22,155.27,301.37,247.23,22.80,,
3684344,,N,2460600.5,1.059,0.4851,11.23,218.99,298.06,262.96,21.65,,
3684345,,N,2456893.5,1.228,0.4446,10.99,250.64,307.00,80.99,22.70,,
3684342,,N,2460600.5,2.105,0.4696,7.93,187.62,136.69,116.97,23.10,,
3684348,,N,2456894.5,1.193,0.3168,2.82,101.17,139.91,53.67,26.50,,
3684350,,N,2456895.5,1.052,0.4049,40.62,28.49,152.23,119.15,22.30,,
3684347,,N,2456896.5,1.592,0.2746,7.08,22.05,336.09,345.55,24.40,,
3684349,,N,2456897.5,2.127,0.6527,7.26,272.28,143.51,341.84,24.14,,
3684346,,N,2460600.5,2.426,0.5014,7.03,77.60,333.84,216.84,20.01,,
3684351,,N,2456897.5,1.948,0.5370,6.49,135.38,141.40,16.46,24.50,,
3684352,,N,2460600.5,1.778,0.3982,22.94,64.57,344.01,70.34,20.70,,
3684353,,N,2460600.5,1.188,0.0442,12.08,12.63,345.30,278.61,24.55,,
3684354,,N,2456896.5,2.136,0.4242,5.63,298.90,20.03,5.66,23.40,,
3684355,,N,2460600.5,1.407,0.2174,14.83,127.28,141.49,73.18,22.64,,
3684635,,N,2456894.5,1.45,0.7803,16.10,331.09,132.12,311.02,21.19,,
3684633,,N,2460600.5,1.19,0.4613,7.97,357.56,130.49,163.15,20.94,,
3684632,,N,2456899.5,2.29,0.4885,6.89,329.86,343.27,7.56,23.70,,
3684631,,N,2460600.5,1.157,0.0434,14.72,4.15,332.34,48.13,24.80,,
3684634,,N,2456898.5,1.493,0.4103,7.93,299.58,332.17,28.08,25.90,,
3684636,,N,2460600.5,2.992,0.6103,14.43,92.86,305.66,328.64,20.40,,
3684718,,N,2460600.5,2.614,0.5039,2.06,258.08,11.76,170.88,19.22,,
3684637,,N,2460600.5,3.119,0.6140,18.28,5.50,347.33,300.38,21.60,,
3684638,,N,2460600.5,0.9857,0.0414,4.01,26.76,156.56,273.92,27.20,,
3684728,,N,2456894.5,1.732,0.3523,7.51,209.79,136.90,351.36,24.10,,
3684730,,N,2460600.5,0.8645,0.5404,16.11,352.98,151.80,103.90,21.19,,
3684729,,N,2460600.5,2.549,0.5449,3.27,53.48,326.32,165.40,22.70,,
3684733,,N,2460600.5,1.916,0.3379,43.89,112.44,139.81,317.90,19.06,,
3684732,,N,2456898.5,1.615,0.4763,1.34,115.95,155.40,22.97,27.50,,
3684734,,N,2456901.5,1.474,0.2534,24.47,43.25,333.59,337.82,23.20,,
3684735,,N,2460600.5,1.543,0.3637,8.45,34.00,335.77,87.04,27.00,,
3684736,,N,2460600.5,2.399,0.4613,6.33,29.67,331.29,253.51,22.70,,
3685268,,N,2456897.5,2.264,0.4449,6.18,149.96,156.73,8.77,22.90,,
3685270,,N,2460600.5,2.282,0.5461,6.00,104.20,184.91,351.63,22.54,,
3685271,,N,2456902.5,1.792,0.3237,16.14,195.61,165.18,350.35,23.60,,
3685272,,Y,2460600.5,1.265,0.7967,21.26,231.20,325.43,76.30,21.33,,
3685631,,N,2460600.5,1.782,0.3032,28.31,91.08,351.28,27.34,20.14,,
3685633,,N,2456902.5,1.58,0.4023,2.09,36.68,345.32,342.36,27.40,,
3685634,,N,2460600.5,1.553,0.4469,39.70,90.61,162.38,123.98,21.50,,
3685635,,N,2460600.5,2.12,0.4460,5.28,160.69,167.09,103.20,22.90,,
3685807,,N,2460600.5,1.247,0.0429,26.32,214.80,345.52,230.94,21.37,,
3685808,,Y,2460600.5,1.366,0.5868,6.44,68.74,111.72,230.97,19.90,,
3685809,,N,2460600.5,2.278,0.5140,4.53,160.16,93.81,11.76,21.11,,
3685811,,N,2460600.5,2.337,0.4504,1.94,87.47,201.33,324.78,19.60,,
3685812,,N,2456903.5,0.967,0.2975,38.45,322.08,155.61,245.94,21.80,,
3685810,,N,2460600.5,1.227,0.1952,15.37,292.92,160.54,72.43,22.40,,
3685817,,N,2460600.5,2.368,0.5287,14.53,115.80,165.73,310.44,19.25,,
3685818,,N,2460600.5,2.63,0.5205,5.30,253.21,118.58,131.17,18.66,,
3685820,,N,2456903.5,2.451,0.4903,2.22,86.88,240.64,4.07,22.90,,
3686082,,N,2460600.5,1.443,0.5317,27.49,164.16,17.47,86.33,18.88,,
3686081,,N,2460600.5,2.992,0.5995,39.17,2.20,308.65,0.69,18.42,,
3686080,,N,2460600.5,2.26,0.4501,5.53,181.20,185.63,343.89,23.00,,
3686085,,N,2460600.5,1.145,0.4432,4.18,81.27,32.00,359.73,22.40,,
3686086,,N,2456899.5,2.297,0.4663,12.22,213.57,145.68,352.40,23.70,,
3686149,,N,2456902.5,2.136,0.5171,11.04,175.67,145.41,5.90,24.10,,
3686154,,N,2460600.5,1.083,0.5155,16.01,30.73,164.50,95.45,22.13,,
3686159,,N,2460600.5,2.772,0.6014,11.94,193.93,95.17,85.99,20.63,,
3686160,,Y,2460600.5,1.941,0.5033,5.98,166.14,252.25,234.01,19.26,,
3686272,,N,2456901.5,1.182,0.0783,14.84,207.92,155.62,338.24,25.00,,
3686281,,N,2460600.5,1.224,0.4424,13.24,161.73,311.41,67.08,20.50,,
3686283,,N,2460600.5,2.422,0.5872,6.49,341.16,335.00,252.52,27.80,,
3686284,,N,2456909.5,2.379,0.6797,13.49,176.17,226.62,345.26,20.25,,
3687132,,N,2460600.5,2.791,0.5440,3.00,283.25,82.49,52.36,21.80,,
3687134,,N,2460600.5,2.216,0.4926,10.59,337.00,355.74,26.61,23.80,,
3687789,,N,2456898.5,2.174,0.4078,23.31,263.92,142.41,328.48,20.48,,
54354286,,N,2460600.5,2.184,0.5209,6.37,335.42,353.95,54.96,22.36,,
3684737,,N,2460600.5,1.461,0.4566,3.13,109.11,157.87,291.70,28.90,,
3685273,,N,2460600.5,1.314,0.3751,4.57,71.08,344.88,223.41,26.80,,
3685632,,N,2456903.5,1.41,0.2714,19.57,176.15,161.68,1.49,25.40,,
3685815,,N,2456911.5,2.569,0.7819,2.84,230.20,7.64,16.21,22.80,,
3685816,,N,2460600.5,0.7263,0.7117,29.58,19.31,163.41,229.91,22.70,,
3685814,,N,2460600.5,1.256,0.1320,7.08,213.19,159.74,46.27,23.80,,
3685819,,N,2460600.5,1.33,0.3184,2.01,65.36,335.93,185.08,27.35,,
3686148,,N,2460600.5,2.241,0.4532,22.90,67.22,323.98,344.73,20.50,,
3686150,,N,2460600.5,1.743,0.2588,32.93,128.48,156.57,174.46,20.37,,
3686151,,N,2460600.5,1.366,0.2749,8.02,130.33,149.84,156.15,24.38,,
3686152,,N,2460600.5,1.422,0.2733,6.51,92.00,172.69,41.32,23.01,,
3686153,,N,2460600.5,2.394,0.4640,7.49,12.83,14.13,258.16,18.80,,
3686187,,N,2460600.5,2.181,0.5357,7.27,145.71,200.34,48.60,23.33,,
3686191,,N,2460600.5,2.76,0.6740,23.79,115.41,277.44,60.29,17.96,,
3686282,,N,2460600.5,2.219,0.4834,30.49,159.57,224.14,0.19,18.84,,
3687133,,N,2456909.5,2.145,0.4217,6.87,133.45,189.30,8.56,22.40,,
3687145,,N,2456914.5,2.341,0.5775,4.60,329.12,341.59,9.40,24.20,,
3687910,,N,2460600.5,1.512,0.2381,5.16,323.87,20.42,156.67,23.72,,
3687147,,N,2460600.5,2.141,0.5437,24.49,305.56,350.06,98.41,22.30,,
3687148,,N,2460600.5,1.767,0.4428,3.66,42.94,0.87,85.70,22.30,,
3687149,,N,2460600.5,1.937,0.7730,1.63,276.64,319.97,284.85,23.20,,
3687150,,N,2456916.5,1.318,0.6079,2.74,250.46,347.14,40.42,24.50,,
3689016,,N,2460600.5,1.668,0.4010,7.72,203.97,174.11,234.73,25.90,,
3689017,,N,2460600.5,1.576,0.3358,2.95,4.99,338.84,37.15,24.10,,
3689018,,N,2460600.5,0.8229,0.2826,20.02,188.14,350.01,353.09,26.00,,
3689178,,N,2460600.5,2.235,0.5027,22.65,309.07,322.12,31.49,21.10,,
3689210,,N,2460600.5,1.948,0.4370,33.37,254.95,172.07,216.33,19.10,,
3689342,,N,2456920.5,1.714,0.3881,9.98,24.58,351.60,351.89,25.50,,
3689179,,N,2456919.5,2.425,0.5763,3.07,191.02,178.48,356.93,26.40,,
3689180,,N,2456917.5,1.243,0.1721,20.05,22.42,351.12,345.93,25.27,,
3689237,,N,2460600.5,1.549,0.2982,11.18,216.82,167.47,65.96,23.80,,
3689239,,N,2460600.5,1.347,0.4083,15.60,253.48,177.23,127.24,29.10,,
3689267,,N,2460600.5,1.133,0.0677,10.15,46.47,354.86,88.93,26.00,,
3689268,,N,2460600.5,0.918,0.2578,7.33,220.52,354.28,282.49,25.60,,
3689269,,N,2456922.5,2.776,0.6870,4.27,291.41,359.48,11.69,24.60,,
3689270,,N,2460600.5,2.447,0.5721,4.79,338.72,351.82,232.73,23.70,,
3689271,,Y,2460600.5,2.123,0.5184,1.48,341.62,358.28,96.97,21.70,,
3689272,,N,2456921.5,2.569,0.5986,3.48,172.57,178.34,1.59,26.00,,
3689273,,N,2460600.5,1.206,0.1733,2.18,338.21,68.72,181.61,24.96,,
3689340,,N,2460600.5,1.981,0.4725,6.70,313.03,22.43,230.02,22.80,,
3689341,,N,2460600.5,1.456,0.2166,8.40,358.20,2.30,265.54,24.20,,
3689343,,N,2460600.5,2.639,0.5379,12.68,339.33,36.33,118.85,21.40,,
3689346,,N,2460600.5,2.132,0.5223,7.80,141.79,158.53,101.23,21.60,,
3689345,,N,2460600.5,1.496,0.2222,16.43,66.87,359.37,131.14,22.43,,
3689344,,N,2460600.5,2.532,0.5394,0.72,195.58,197.34,170.60,22.60,,
3689348,,N,2460600.5,1.914,0.5731,2.11,138.12,147.84,311.09,22.80,,
3689350,,N,2460600.5,1.102,0.5105,11.67,49.07,172.83,326.84,22.37,,
3689349,,N,2460600.5,1.56,0.5083,2.09,119.34,336.49,20.92,23.10,,
3689352,,N,2460600.5,2.308,0.4369,7.80,116.57,178.37,344.08,19.97,,
3689347,,N,2460600.5,2.176,0.4195,5.53,36.97,325.43,49.05,22.70,,
3689351,,N,2460600.5,2.566,0.5950,26.69,16.89,19.54,154.15,22.40,,
3689354,,N,2460600.5,1.957,0.5771,3.18,241.98,176.92,229.05,28.20,,
3689355,,N,2460600.5,1.671,0.4756,6.12,115.59,184.83,258.59,24.40,,
3689353,,Y,2460600.5,1.16,0.4200,5.57,81.25,125.16,123.97,21.70,,
3689356,,N,2456921.5,1.803,0.4260,2.76,308.71,5.71,16.96,25.30,,
3689358,,N,2460600.5,1.606,0.2869,20.89,238.49,325.69,137.73,18.95,,
3689357,,N,2460600.5,1.331,0.0932,18.57,307.03,178.71,90.62,22.14,,
3690050,,N,2460600.5,1.867,0.3526,6.33,228.16,201.84,309.72,21.00,,
3690052,,N,2456921.5,2.103,0.4424,3.68,108.87,221.80,10.42,24.10,,
3690053,,N,2460600.5,1.472,0.4162,8.18,166.02,302.80,165.97,21.60,,
3690054,,N,2460600.5,1.295,0.1569,3.52,110.08,289.60,267.53,24.20,,
3690057,,N,2460600.5,1.485,0.4579,1.73,260.01,174.52,172.14,27.00,,
3690055,,N,2456922.5,1.187,0.2630,6.72,321.24,161.95,266.48,23.80,,
3690058,,N,2456922.5,2.508,0.5612,4.59,355.44,0.20,1.07,25.30,,
3690056,,N,2456921.5,1.568,0.3309,2.54,327.76,7.46,10.88,26.90,,
3690061,,N,2460600.5,0.9309,0.2025,21.95,143.99,0.90,304.21,25.21,,
3690383,,N,2460600.5,2.341,0.6294,1.97,230.66,186.39,280.79,25.30,,
3690382,,N,2456928.5,1.612,0.3298,5.82,134.44,208.67,9.67,24.60,,
3690381,,N,2460600.5,1.316,0.2991,4.35,51.66,11.24,206.49,25.90,,
3690385,,N,2460600.5,1.222,0.2066,20.16,225.32,180.89,132.50,25.70,,
3690386,,N,2460600.5,1.261,0.1973,7.24,351.63,359.61,45.59,26.90,,
3690384,,N,2460600.5,2.235,0.5476,8.41,173.02,180.37,7.05,27.20,,
3690387,,N,2460600.5,2.502,0.5938,3.94,310.67,105.22,181.63,22.64,,
3690388,,N,2460600.5,2.609,0.5306,2.43,253.23,112.91,140.95,20.80,,
3690389,,N,2460600.5,2.565,0.6586,1.71,122.97,186.48,170.05,26.70,,
3690390,,N,2456927.5,2.588,0.6607,6.39,134.86,175.90,9.22,26.10,,
3690391,,N,2460600.5,1.053,0.1705,5.88,273.57,359.91,179.87,27.60,,
3690392,,N,2456925.5,2.104,0.5964,1.35,66.60,350.29,347.27,27.00,,
3690683,,N,2460600.5,1.522,0.2822,8.78,162.46,184.00,140.75,23.60,,
3690684,,N,2460600.5,2.352,0.6127,0.61,323.12,354.77,293.85,26.30,,
3690686,,N,2460600.5,1.577,0.4660,0.35,345.50,80.82,4.51,26.10,,
3691089,,N,2460600.5,2.551,0.5105,33.32,236.10,184.54,161.10,19.61,,
3691088,,N,2460600.5,1.766,0.4020,7.28,212.56,187.72,88.16,24.50,,
3691095,,Y,2460600.5,2.253,0.8861,7.75,248.29,335.54,10.07,21.00,,
3691092,,N,2456925.5,1.431,0.3630,9.96,254.43,186.11,320.45,24.50,,
3691091,,N,2456925.5,2.896,0.6364,21.18,11.37,359.08,358.46,25.00,,
3691090,,N,2460600.5,1.693,0.3587,9.67,227.87,185.40,178.50,23.40,,
3691093,,N,2460600.5,1.213,0.2356,24.44,270.31,181.83,125.08,24.02,,
3691094,,N,2460600.5,2.82,0.6003,8.52,215.70,186.38,32.80,23.20,,
