"spkid","name","pha","epoch","a","e","i","w","om","ma","H","G","GM"
20004197,Morpheus,N,2460600.5,2.295,0.7724,12.60,122.55,7.01,357.11,15.03,,
20004257,Ubasti,N,2460600.5,1.647,0.4683,40.72,278.94,169.15,160.95,15.96,,
20004341,Poseidon,N,2460600.5,1.834,0.6800,11.84,15.83,108.03,44.04,16.08,,
20004401,Aditi,N,2460600.5,2.584,0.5633,26.63,68.15,22.78,133.50,16.12,,
20004450,Pan,Y,2460600.5,1.443,0.5866,5.52,291.94,311.70,192.17,17.28,,
20004486,Mithra,Y,2460600.5,2.205,0.6620,3.04,169.12,82.18,156.61,15.61,,
20004487,Pocahontas,N,2460600.5,1.73,0.2966,16.41,173.99,198.10,95.85,17.49,,
20004503,Cleobulus,N,2460600.5,2.703,0.5247,2.51,76.25,45.94,287.79,15.82,,
20004544,Xanthus,N,2460600.5,1.042,0.2501,14.14,333.83,23.95,354.50,17.38,,
20004581,Asclepius,Y,2460600.5,1.023,0.3570,4.92,255.38,180.20,212.12,20.74,,
20004596,,N,2460600.5,2.24,0.5200,37.07,248.42,154.19,290.19,16.46,,
20004660,Nereus,Y,2460600.5,1.485,0.3587,1.45,159.54,313.11,191.96,18.75,,
20004688,,N,2460600.5,2.232,0.5179,6.38,213.80,241.23,45.35,19.60,,
20004769,Castalia,Y,2460600.5,1.063,0.4832,8.88,121.44,325.51,324.11,17.50,,
20004947,Ninkasi,N,2460600.5,1.37,0.1685,15.65,192.93,215.43,144.57,18.08,,
20004953,,Y,2460600.5,1.621,0.6574,24.38,77.93,77.53,285.02,14.94,,
20004954,Eric,N,2460600.5,2.001,0.4494,17.43,52.62,358.41,347.92,12.54,,
20004957,Brucemurray,N,2460600.5,1.565,0.2189,35.01,97.48,254.88,150.48,15.11,,
20005011,Ptah,Y,2460600.5,1.636,0.5001,7.41,105.94,10.63,173.66,16.70,,
20005131,,N,2460600.5,1.486,0.5692,36.44,135.87,110.34,358.09,14.83,,
20005143,Heracles,N,2460600.5,1.835,0.7710,8.98,228.22,309.09,45.49,14.06,,
20005189,,Y,2460600.5,1.552,0.4783,3.58,159.95,135.05,257.64,17.84,,
20005324,Lyapunov,N,2460600.5,2.982,0.6052,19.62,321.13,352.16,101.93,15.34,,
20005332,Davidaguilar,N,2460600.5,2.163,0.4557,25.52,306.07,142.77,339.58,15.04,,
20005370,Taranis,N,2460600.5,3.319,0.6370,19.17,161.31,177.79,90.75,15.23,,
20005381,Sekhmet,N,2460600.5,0.9475,0.2964,48.97,37.42,58.53,199.13,16.75,,
20005496,,N,2460600.5,2.435,0.6350,68.00,117.98,101.04,195.45,16.15,,
20005587,,N,2460600.5,2.4,0.5441,18.07,86.96,189.85,103.89,13.89,,
20005590,,N,2460600.5,0.9864,0.2802,14.18,34.47,216.26,25.89,19.91,,
20005604,,Y,2460600.5,0.9286,0.4061,4.71,82.68,311.89,269.92,17.38,,
20005620,Jasonwheeler,N,2460600.5,2.159,0.4228,7.87,153.76,128.65,292.11,17.12,,
20005626,Melissabrucker,N,2460600.5,2.195,0.4547,3.85,231.87,173.10,200.05,14.34,,
20005645,,N,2460600.5,1.355,0.3873,13.51,48.27,45.71,164.51,17.23,,
20005646,,N,2460600.5,2.144,0.4357,7.91,335.77,14.10,314.96,15.51,,
20005653,Camarillo,N,2460600.5,1.794,0.3042,6.87,122.62,9.89,63.97,16.22,,
20005660,,N,2460600.5,1.785,0.7621,38.14,127.04,302.12,358.08,15.50,,
20005693,,Y,2460600.5,1.271,0.5851,5.06,258.98,96.98,203.14,16.79,,
20005731,Zeus,N,2460600.5,2.266,0.6521,11.20,218.43,280.59,166.28,15.46,,
20005751,Zao,N,2460600.5,2.101,0.4254,16.07,25.46,121.63,254.35,14.96,,
20005786,Talos,N,2460600.5,1.081,0.8268,23.22,8.39,161.28,277.56,17.19,,
20005797,Bivoj,N,2460600.5,1.894,0.4443,4.19,168.64,298.92,69.36,18.88,,
20005828,,N,2460600.5,1.698,0.6949,30.12,152.77,125.42,57.64,15.98,,
20005836,,N,2460600.5,2.441,0.5365,7.94,78.09,238.71,59.58,15.00,,
20005863,Tara,N,2460600.5,2.222,0.5065,19.49,115.62,168.76,166.87,15.84,,
20005869,Tanith,N,2460600.5,1.812,0.3213,17.93,230.86,227.85,232.38,17.22,,
20005879,Almeria,N,2460600.5,1.625,0.2892,21.57,355.78,145.83,283.14,17.62,,
20006037,,Y,2460600.5,1.272,0.4997,3.51,242.32,182.18,249.72,18.87,,
20006047,,N,2460600.5,1.455,0.3521,23.47,103.82,6.07,242.40,17.84,,
20006050,Miwablock,N,2460600.5,2.202,0.4372,6.41,285.05,88.15,33.19,15.01,,
20006053,,N,2460600.5,2.147,0.5287,21.58,74.93,318.23,82.05,15.10,,
20006063,Jason,N,2460600.5,2.22,0.7622,4.96,337.61,169.03,99.90,16.02,,
20006178,,N,2460600.5,2.815,0.5845,4.31,127.48,64.49,54.83,15.75,,
20006239,Minos,Y,2460600.5,1.151,0.4126,3.94,239.77,344.53,224.50,18.61,,
20006455,,N,2460600.5,2.24,0.5728,37.34,262.75,26.89,230.08,14.10,,
20006456,Golombek,N,2460600.5,2.193,0.4090,8.22,347.10,313.57,335.09,16.07,,
20006489,Golevka,Y,2460600.5,2.484,0.6151,2.27,68.66,209.42,151.88,19.22,,
20006491,,Y,2460600.5,2.506,0.5917,6.00,324.73,301.00,142.22,18.72,,
20006569,Ondaatje,N,2460600.5,1.626,0.2209,22.64,167.30,111.46,29.09,16.65,,
20006611,,N,2460600.5,1.696,0.4846,8.70,281.59,230.77,315.03,16.90,,
20007025,,N,2460600.5,1.476,0.3150,12.61,323.45,146.59,14.75,18.08,,
20007088,Ishtar,N,2460600.5,1.981,0.3903,8.30,354.78,102.61,271.76,16.84,,
20007092,Cadmus,N,2460600.5,2.545,0.6935,17.79,94.77,56.72,30.55,15.12,,
20007236,,N,2460600.5,2.727,0.5598,16.37,338.24,308.24,106.90,18.32,,
20007335,,Y,2460600.5,1.772,0.4846,15.17,232.27,61.28,349.17,17.70,,
20007336,Saunders,N,2460600.5,2.306,0.4815,7.20,181.56,174.46,5.75,18.91,,
20007341,,Y,2460600.5,1.841,0.5061,5.41,173.48,294.73,37.89,16.96,,
20007350,,N,2460600.5,1.356,0.3911,7.26,336.70,133.05,183.75,17.18,,
20007358,Oze,N,2460600.5,2.199,0.5020,4.66,92.31,265.42,351.77,14.74,,
20007474,,N,2460600.5,1.565,0.2923,7.09,275.65,88.60,129.54,18.11,,
20007480,Norwan,N,2460600.5,1.568,0.3171,9.45,256.87,124.36,98.18,17.24,,
20007482,,Y,2460600.5,1.349,0.3294,33.47,47.49,117.85,246.56,16.66,,
20007753,,Y,2460600.5,1.467,0.4817,3.12,280.08,73.39,95.85,18.02,,
20007822,,Y,2460600.5,1.123,0.1646,37.12,249.45,156.84,182.35,17.34,,
20007839,,N,2460600.5,2.165,0.5187,27.12,228.32,102.51,167.97,17.83,,
20007888,,N,2460600.5,2.438,0.6631,26.07,323.01,165.89,24.14,15.19,,
20007889,,N,2460600.5,1.262,0.3463,36.91,349.18,111.26,337.10,15.32,,
20007977,,N,2460600.5,2.226,0.4664,25.17,248.11,134.13,53.30,15.19,,
20008013,Gordonmoore,N,2460600.5,2.202,0.4316,7.59,147.20,105.36,190.80,17.09,,
20008014,,Y,2460600.5,1.747,0.4560,1.87,114.73,209.84,291.48,18.88,,
20008034,Akka,N,2460600.5,1.83,0.4090,2.02,68.19,232.82,5.05,18.01,,
20008035,,N,2460600.5,1.342,0.4624,28.30,6.12,185.61,13.70,17.12,,
20008037,,N,2460600.5,1.987,0.4174,5.91,105.73,22.38,131.38,16.63,,
20008176,,N,2460600.5,1.575,0.6432,39.59,241.88,66.51,260.84,17.02,,
20008201,,N,2460600.5,2.539,0.7061,9.54,25.13,164.09,199.52,15.95,,
20008507,,N,2460600.5,1.687,0.5944,14.58,345.77,317.41,9.42,17.21,,
